PRQPath,PRQ UID,PRQ Name,TRQ UID,TRQ Name,TRQPath
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Software Platform\Execution Engine,2743,[PRQ2743] The software platform shall be optimized for the analysis pipeline to enable processing of a typical Nextseq run (600M-800M individual reads from 300M-400M read pairs) with a high output kit for this assay in -= 24 hours.,1962,[TRQ1962] The analysis software shall complete analysis of up to 800 million paired end reads within 24 hours.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Analysis
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Software Platform\Execution Engine,2743,[PRQ2743] The software platform shall be optimized for the analysis pipeline to enable processing of a typical Nextseq run (600M-800M individual reads from 300M-400M read pairs) with a high output kit for this assay in -= 24 hours.,1963,[TRQ1963] The analysis software shall execute using GMS as the software platform.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Analysis
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Software Platform\Execution Engine,2764,[PRQ2764] The software shall automatically generate a report from an analysis run based on the analysis workflow.,1989,[TRQ1989] The analysis software shall automatically generate reports based on the specified analysis workflow given at start of analysis.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Results\Report
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Software Platform\Install and Upgrade,2780,[PRQ2780] The software platform shall enable the annotation databases to be updated indepedently of the analysis pipeline software.,2035,[TRQ2035] The analysis software annotation databases shall be able to be updated without affecting analysis software performance or installation,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\System Settings\System Infrastructure
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Software Platform\Install and Upgrade,2890,[PRQ2890] The software shall allow FSE to perform software upgrade,2036,[TRQ2036] The analysis software annotation databases shall be able to be updated manually.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\System Settings\System Infrastructure
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\Software Platform\Install and Upgrade,3355,[PRQ3355] The software shall enable remote access for the purpose of customer support.,3375,[TRQ3375] The analysis software shall provide emergency procedures to deploy software patches in case of critical vulnerabilities.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\System Settings\Security
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\User Interface\Configuration,2786,[PRQ2786] The software shall enable the user to set the output directory on the users network storage for files produced by the analysis pipeline.,2065,[TRQ2065] The analysis software shall allow a user to define a directory path where files output from analysis will be saved.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\ctDNA Navigation\Run Settings
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\User Interface\Configuration,2813,[PRQ2813] The software shall generate an email notification once a run is complete when the system is configured to have access to an SMTP system.,2633,[TRQ2633] The analysis software shall allow sending a notification email with the following information:,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Analysis
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\User Interface\Configuration,2813,[PRQ2813] The software shall generate an email notification once a run is complete when the system is configured to have access to an SMTP system.,2376,[TRQ2376] The analysis software shall allow a user to define comma delimited email addresses for users to be notified when analysis is complete in the Run Settings.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\ctDNA Navigation\Run Settings
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\User Interface\Data Display\Reporting\QC Report,2815,[PRQ2815] The software shall produce a report with QC metrics.,2001,[TRQ2001] The analysis software shall produce a Quality Control Report with a graph of the Coverage Uniformity for a sample.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Results\Report
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\User Interface\Data Display\Reporting\QC Report,2815,[PRQ2815] The software shall produce a report with QC metrics.,2019,[TRQ2019] The analysis software shall produce a Quality Control Report with a graph of the Allele Fraction Distribution.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Results\Report
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\User Interface\Data Display\Reporting\QC Report,2815,[PRQ2815] The software shall produce a report with QC metrics.,2026,[TRQ2026] The analysis software shall produce a Quality Control Report with the following sample analysis information:,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Results\Report
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\User Interface\Data Display\Reporting\QC Report,2816,[PRQ2816] The software shall provide QC report in PDF format,2003,[TRQ2003] The analysis software shall generate Quality Control Reports as a PDF file.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Results\Report
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\User Interface\Data Display\Reporting\QC Report,2817,[PRQ2817] The software shall provide QC report in JSON format.,3380,[TRQ3380] The analysis software shall produce Quality Control Reports as a JSON file.,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Results\Report
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\User Interface\Data Display\Reporting\QC Report,2818,[PRQ2818] The QC report shall display sample name,1977,[TRQ1977] The analysis software shall produce a Quality Control Report with the following run information:,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Results\Report
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\User Interface\Data Display\Reporting\QC Report,2819,[PRQ2819] The QC report shall display run name,1977,[TRQ1977] The analysis software shall produce a Quality Control Report with the following run information:,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Results\Report
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\User Interface\Data Display\Reporting\QC Report,2820,[PRQ2820] The QC report shall display unique run ID,1977,[TRQ1977] The analysis software shall produce a Quality Control Report with the following run information:,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Results\Report
Requirements\ctDNA v1\01_Product Requirements\Software Requirements\User Interface\Data Display\Reporting\QC Report,2821,[PRQ2821] The QC report shall display the data and time the analysis job was created.,1977,[TRQ1977] The analysis software shall produce a Quality Control Report with the following run information:,Requirements\ctDNA v1\02_Technical Requirements Specification\ctDNA V1 Analysis Package Software Requirements Specification\Software Requirements\Results\Report
